API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Apr 14 11:00:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
 X =-1.439779550060027E+08 Y =-4.172863898868144E+07 Z =-2.950028051291034E+04
2461136.748987269 = A.D. 2026-Apr-06 05:58:32.5000 TDB 
 X =-1.439502735542067E+08 Y =-4.183421463146885E+07 Z =-2.968244811314903E+04
2461136.790653935 = A.D. 2026-Apr-06 06:58:32.5000 TDB 
 X =-1.439225240123079E+08 Y =-4.193973475938834E+07 Z =-2.986232445784658E+04
2461136.832320602 = A.D. 2026-Apr-06 07:58:32.5000 TDB 
 X =-1.438947084722708E+08 Y =-4.204519934325864E+07 Z =-3.004001737913489E+04
2461136.873987269 = A.D. 2026-Apr-06 08:58:32.5000 TDB 
 X =-1.438668293821844E+08 Y =-4.215060821625178E+07 Z =-3.021565743044950E+04
2461136.915653935 = A.D. 2026-Apr-06 09:58:32.5000 TDB 
 X =-1.438388896059864E+08 Y =-4.225596107871252E+07 Z =-3.038939715180919E+04
2461136.957320602 = A.D. 2026-Apr-06 10:58:32.5000 TDB 
 X =-1.438108925907391E+08 Y =-4.236125741226467E+07 Z =-3.056141220255941E+04
2461136.998987269 = A.D. 2026-Apr-06 11:58:32.5000 TDB 
 X =-1.437828425293636E+08 Y =-4.246649640120851E+07 Z =-3.073191029460914E+04
2461137.040653935 = A.D. 2026-Apr-06 12:58:32.5000 TDB 
 X =-1.437547446075093E+08 Y =-4.257167679560160E+07 Z =-3.090114182176441E+04
2461137.082320602 = A.D. 2026-Apr-06 13:58:32.5000 TDB 
 X =-1.437266053584162E+08 Y =-4.267679669060519E+07 Z =-3.106941500989906E+04
2461137.123987269 = A.D. 2026-Apr-06 14:58:32.5000 TDB 
